food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Cluster,Silhouette_Score
salsa con queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2.0,184.3,0.069,0.06,0.095,0.041,0.2,0.3,1.4,0.1,1.0,0.0,4.7,0.09,245.0,0.048,0.4,20.0,0.08,500.0,262.5,0.073,1.0,307.813,0,0.018954366972529068
cocktail sauce,19,0.2,0.0,0.0,0.0,4.2,1.8,0.2,0.3,0.0,0.2,9.9,0.002,0.078,0.066,0.0,0.069,0.1,0.033,0.042,1.7,0.0,0.2,0.014,3.9,0.023,0.1,2.6,0.096,4.5,46.4,0.075,0.086,10.667,1,0.6427389948138253
worcestershire sauce,13,0.0,0.0,0.0,0.0,3.3,1.7,0.0,0.0,0.0,0.2,13.4,0.036,0.023,0.009,0.0,0.051,0.1,0.0,0.0,2.2,0.0,0.036,0.042,18.2,0.09,0.9,2.2,0.0,10.2,136.0,0.067,0.023,24.673,1,0.632447308440358
barbecue sauce,29,0.1,0.009,0.047,0.064,6.9,5.7,0.1,0.2,0.0,0.2,9.3,0.0,0.064,0.037,0.0,0.086,0.1,0.005,0.035,0.1,0.0,0.1,0.027,5.6,0.042,0.1,2.2,0.038,3.4,39.4,0.044,0.038,13.1,1,0.6293862019295213
tomato sauce with onions,103,0.5,0.007,0.047,0.2,24.4,0.0,3.8,4.4,0.0,1.3,210.9,0.0,0.2,0.003,0.0,0.3,3.0,0.9,0.7,31.1,0.0,0.0,0.0,41.7,0.4,2.3,46.6,0.7,95.6,1011.9,0.059,0.6,108.2,0,0.0471441389434038
brown gravy dry,22,0.6,0.2,0.3,0.061,3.6,0.0,0.6,0.1,0.2,0.3,0.3,0.033,0.013,0.029,0.011,0.039,0.2,0.059,0.061,0.048,0.0,0.0,0.0,7.9,0.032,0.1,2.0,0.048,12.2,15.7,0.038,0.013,13.021,1,0.6587426836281772
blue cheese dressing light,14,0.4,0.1,0.2,0.1,2.1,0.6,0.3,0.0,1.6,0.2,12.4,0.081,0.071,0.055,0.05,0.012,0.088,0.0,0.041,0.0,0.0,0.1,0.052,10.9,0.033,0.042,0.6,0.0,7.5,8.2,0.003,0.073,13.835,1,0.6151602515272159
spanish tomato sauce,81,0.7,0.007,0.016,0.3,17.7,0.0,3.5,3.4,0.0,1.2,217.4,0.0,0.2,0.053,0.0,0.2,3.2,0.7,0.4,21.0,0.0,0.0,0.0,41.5,0.4,8.5,46.4,0.5,117.1,900.4,0.087,0.8,96.3,0,0.05519563366287156
oyster sauce,9,0.066,0.016,0.02,0.044,2.0,0.0,0.2,0.024,0.0,0.5,14.4,0.0,0.089,0.005,0.05,0.049,0.3,0.009,0.023,0.036,0.0,0.0,0.0,5.8,0.037,0.069,0.7,0.083,4.0,9.7,0.072,0.022,8.095,1,0.6075256752331268
cheese sauce,30,2.2,1.2,0.7,0.2,0.8,0.033,1.5,0.071,5.7,0.002,10.0,0.003,0.035,0.08,0.0,0.015,0.073,0.083,0.082,0.067,0.023,0.096,0.095,46.7,0.1,0.047,2.9,0.084,34.4,21.3,0.078,0.2,51.263,1,0.6206167128364386
